DateTime,AlertDateTime,Case,Status
"2026-08-06T17:20:48.3483820Z","2026-05-22 17:05:29 UTC+07","26672","Timeout"
"2026-08-07T03:08:56.6127348Z","2026-08-07 09:25:00 UTC+07","26687","Timeout"
"2026-08-07T03:14:41.6391182Z","2026-08-06 10:00:00 UTC+07","26688","Timeout"
"2026-08-07T03:43:01.8224584Z","2026-08-07 09:59:00 UTC+07","26692","Timeout"
"2026-08-07T04:10:03.3882538Z","2026-08-07 10:53:00 UTC+07","26699","Confirm"
"2026-08-07T04:25:35.1809998Z","2026-08-07 11:03:00 UTC+07","26701","Confirm"
"2026-08-07T04:28:00.7874813Z","2026-08-07 08:24:00 UTC+07","26696","Timeout"
"2026-08-07T04:28:03.5228998Z","2026-08-07 09:24:00 UTC+07","26697","Timeout"
"2026-08-07T06:41:16.0961549Z","2026-08-07 11:19:30 UTC+07","26704","Cancel"
"2026-08-07T06:41:20.5403030Z","2026-08-07 11:24:30 UTC+07","26705","Cancel"
"2026-08-07T06:57:08.7791986Z","2026-08-07 16:32:39 UTC+07","26675","Timeout"
"2026-08-07T06:57:08.7791986Z","2026-08-07 16:32:39 UTC+07","26689","Timeout"
"2026-08-07T06:52:48.0420349Z","2026-08-07 13:37:30 UTC+07","26716","Cancel"
"2026-08-07T06:56:10.7800206Z","2026-08-07 13:32:30 UTC+07","26715","Cancel"
"2026-08-07T07:48:40.7797697Z","2026-08-07 14:04:00 UTC+07","26723","Timeout"
"2026-08-07T07:59:14.2858318Z","2026-08-07 14:41:00 UTC+07","26734","Confirm"
"2026-08-07T08:27:51.6827780Z","2026-08-07 12:12:00 UTC+07","26733","Timeout"
"2026-08-07T08:38:33.4831038Z","2026-08-07 14:51:00 UTC+07","26736","Timeout"
"2026-08-07T09:51:08.4542508Z","2026-08-07 16:02:00 UTC+07","26745","Timeout"
"2026-08-07T10:28:00.6955111Z","2026-08-07 13:42:00 UTC+07","26748","Timeout"
"2026-08-07T10:28:02.1408501Z","2026-08-07 14:42:00 UTC+07","26749","Timeout"
"2026-08-07T10:56:31.2414518Z","2026-08-07 14:54:00 UTC+07","26751","Timeout"
"2026-08-07T14:56:28.1857853Z","2026-08-07 19:06:00 UTC+07","26760","Timeout"
"2026-08-08T03:22:28.2582703Z","2026-08-08 10:06:00 UTC+07","26782","Confirm"
"2026-08-08T03:38:43.1265464Z","2026-08-08 09:47:00 UTC+07","26781","Timeout"
"2026-08-08T03:38:45.4886751Z","2026-08-08 09:57:00 UTC+07","26781","Timeout"
"2026-08-08T03:49:42.3955533Z","2026-08-08 10:15:30 UTC+07","26784","Cancel"
"2026-08-08T04:50:57.2863847Z","2026-08-08 11:43:00 UTC+07","26789","Confirm"
"2026-08-08T04:51:02.3537443Z","2026-08-08 11:31:00 UTC+07","26789","Confirm"
"2026-08-08T04:58:34.6564447Z","2026-08-08 11:33:00 UTC+07","26790","Confirm"
"2026-08-08T05:13:54.3680689Z","2026-08-08 11:56:00 UTC+07","26850","Confirm"
"2026-08-08T05:13:57.7628378Z","2026-08-08 12:07:00 UTC+07","26850","Confirm"
"2026-08-08T05:43:16.2254946Z","2026-08-08 11:55:00 UTC+07","26849","Timeout"
"2026-08-08T06:31:09.4792067Z","2026-08-08 12:41:00 UTC+07","26852","Timeout"
"2026-08-08T07:18:28.8345472Z","2026-08-08 13:44:00 UTC+07","26854","Confirm"
"2026-08-08T08:12:13.5712553Z","2026-08-08 14:52:30 UTC+07","26857","Cancel"
"2026-08-09T04:21:15.8723577Z","2026-08-09 11:02:00 UTC+07","26879","Cancel"
"2026-08-09T04:29:34.1733795Z","2026-08-09 11:11:00 UTC+07","26881","Cancel"
"2026-08-09T04:58:29.3616622Z","2026-08-09 11:11:00 UTC+07","26880","Cancel"
"2026-08-09T10:28:17.0129110Z","2026-08-09 17:09:00 UTC+07","26892","Block"
"2026-08-09T15:34:06.4641994Z","2026-08-09 20:18:00 UTC+07","26898","Timeout"
"2026-08-09T23:56:37.8824695Z","2026-08-10 04:06:00 UTC+07","26909","Timeout"
"2026-08-10T02:08:59.0520626Z","2026-08-10 08:55:00 UTC+07","26931","Confirm"
"2026-08-10T02:17:17.9057807Z","2026-08-10 08:56:00 UTC+07","26932","Confirm"
"2026-08-10T02:17:25.9954610Z","2026-08-10 09:09:00 UTC+07","26932","Confirm"
"2026-08-10T02:48:44.1631714Z","2026-08-10 09:05:00 UTC+07","26934","Timeout"
"2026-08-10T03:15:22.3138974Z","2026-08-10 09:21:00 UTC+07","26938","Timeout"
"2026-08-10T03:48:50.4533489Z","2026-08-10 09:59:00 UTC+07","26952","Timeout"
"2026-08-10T03:56:30.3833100Z","2026-08-10 08:12:00 UTC+07","26955","Timeout"
"2026-08-10T03:57:49.3356316Z","2026-08-10 10:38:00 UTC+07","26957","Confirm"
"2026-08-10T04:15:22.6808488Z","2026-08-10 10:48:00 UTC+07","26961","Confirm"
"2026-08-10T04:18:08.0123128Z","2026-08-10 11:00:00 UTC+07","26963","Confirm"
"2026-08-10T04:27:46.0145909Z","2026-08-10 08:30:00 UTC+07","26959","Timeout"
"2026-08-10T04:38:38.0809489Z","2026-08-10 11:19:00 UTC+07","26967","Confirm"
"2026-08-10T04:43:53.2782119Z","2026-08-10 11:21:00 UTC+07","26970","Confirm"
"2026-08-10T04:43:55.6681858Z","2026-08-10 11:31:00 UTC+07","26970","Confirm"
"2026-08-10T04:50:05.6887442Z","2026-08-10 11:43:00 UTC+07","26972","Confirm"
"2026-08-10T04:51:40.9440977Z","2026-08-10 11:29:00 UTC+07","26973","Confirm"
"2026-08-10T06:15:17.5002495Z","2026-08-10 11:53:00 UTC+07","27006","Timeout"
"2026-08-10T07:29:29.5096153Z","2026-08-10 14:11:00 UTC+07","27021","Confirm"
"2026-08-10T08:07:00.1270850Z","2026-08-10 14:23:00 UTC+07","27022","Timeout"
"2026-08-10T08:08:28.5271217Z","2026-08-10 14:22:00 UTC+07","27023","Timeout"
"2026-08-10T09:33:17.4090117Z","2026-08-10 15:23:00 UTC+07","27030","Timeout"
"2026-08-10T09:33:35.6178117Z","2026-08-10 15:29:00 UTC+07","27035","Timeout"
"2026-08-10T09:49:11.2664172Z","2026-08-10 16:29:00 UTC+07","27038","Confirm"
"2026-08-10T10:29:01.2998838Z","2026-08-10 16:40:00 UTC+07","27040","Timeout"
"2026-08-10T10:29:05.4076115Z","2026-08-10 16:39:00 UTC+07","27039","Timeout"
"2026-08-10T10:34:30.8742746Z","2026-08-09 17:00:00 UTC+07","27042","Timeout"
"2026-08-10T10:34:38.8863541Z","2026-08-09 17:00:00 UTC+07","27041","Timeout"
"2026-08-10T11:34:08.4388143Z","2026-08-09 18:00:00 UTC+07","27044","Timeout"
"2026-08-10T11:34:10.9540256Z","2026-08-09 18:00:00 UTC+07","27045","Timeout"
"2026-08-10T11:34:13.5739408Z","2026-08-09 18:00:00 UTC+07","27046","Timeout"
"2026-08-10T11:34:20.3057187Z","2026-08-09 18:00:00 UTC+07","27047","Timeout"
"2026-08-11T03:45:16.8054242Z","2026-08-11 10:27:00 UTC+07","27112","Confirm"
"2026-08-11T04:01:35.4244867Z","2026-08-11 10:37:00 UTC+07","27117","Confirm"
"2026-08-11T04:10:10.2109264Z","2026-08-11 09:24:00 UTC+07","27118","Confirm"
"2026-08-11T04:28:55.3516501Z","2026-08-11 08:00:00 UTC+07","27114","Timeout"
"2026-08-11T04:50:54.0144074Z","2026-08-11 11:00:30 UTC+07","27122","Cancel"
"2026-08-11T05:00:48.0079115Z","2026-08-11 11:40:00 UTC+07","27130","Cancel"
"2026-08-11T06:36:34.4379102Z","2026-08-11 13:21:30 UTC+07","27177","Cancel"
"2026-08-11T07:29:31.4524659Z","2026-08-11 14:12:00 UTC+07","27182","Confirm"
"2026-08-11T07:41:37.6489273Z","2026-08-11 14:23:00 UTC+07","27184","Confirm"
"2026-08-11T09:14:54.3548727Z","2026-08-11 15:53:00 UTC+07","27202","Confirm"
"2026-08-11T09:14:57.1835898Z","2026-08-11 16:03:00 UTC+07","27202","Confirm"
"2026-08-11T09:42:25.1266756Z","2026-08-11 15:54:14 UTC+07","27200","Timeout"
"2026-08-11T09:42:27.1484295Z","2026-08-11 15:54:14 UTC+07","27199","Timeout"
"2026-08-11T09:59:08.9955473Z","2026-08-11 16:20:00 UTC+07","27206","Timeout"
"2026-08-11T10:23:12.5920740Z","2026-08-11 16:45:00 UTC+07","27208","Timeout"
"2026-08-11T10:23:15.1394740Z","2026-08-11 16:35:00 UTC+07","27208","Timeout"
"2026-08-11T10:38:52.3547587Z","2026-08-11 17:17:30 UTC+07","27210","Block"
"2026-08-11T11:15:11.1954352Z","2026-08-11 16:55:00 UTC+07","27211","Timeout"
"2026-08-11T11:24:46.5101627Z","2026-08-11 17:37:33 UTC+07","27213","Timeout"
"2026-08-11T11:25:01.6843705Z","2026-08-11 17:37:33 UTC+07","27214","Timeout"
"2026-08-11T13:03:39.0535332Z","2026-08-11 19:45:00 UTC+07","27216","Cancel"
"2026-08-12T01:56:59.7497955Z","2026-08-12 08:35:00 UTC+07","27223","Block"
"2026-08-12T02:52:11.1835171Z","2026-08-12 09:35:00 UTC+07","27224","Cancel"
"2026-08-12T10:38:33.3068916Z","2026-08-12 16:54:00 UTC+07","27244","Timeout"
"2026-08-13T02:15:58.7398760Z","2026-08-13 09:00:00 UTC+07","27262","Confirm"
"2026-08-13T02:16:05.2082627Z","2026-08-13 08:50:00 UTC+07","27262","Confirm"
"2026-08-13T03:52:21.2708100Z","2026-08-13 09:55:30 UTC+07","27266","Block"
"2026-08-13T03:56:24.9281332Z","2026-08-13 10:07:30 UTC+07","27268","Block"
"2026-08-13T03:56:27.8787136Z","2026-08-13 10:02:30 UTC+07","27267","Block"
"2026-08-13T03:59:38.9530056Z","2026-08-13 09:50:30 UTC+07","27265","Block"
"2026-08-13T04:45:46.3647525Z","2026-08-13 10:55:30 UTC+07","27269","Cancel"
"2026-08-13T06:48:52.2130262Z","2026-08-13 13:04:00 UTC+07","27275","Timeout"
"2026-08-13T06:49:46.5271217Z","2026-08-13 13:45:00 UTC+07","27276","Confirm"
"2026-08-13T06:49:48.9213912Z","2026-08-13 13:35:00 UTC+07","27276","Confirm"
"2026-08-13T07:01:43.0628462Z","2026-08-13 13:39:00 UTC+07","27278","Confirm"
"2026-08-13T07:10:00.6868988Z","2026-08-13 13:49:00 UTC+07","27279","Confirm"
"2026-08-13T07:43:11.6415910Z","2026-08-13 13:56:00 UTC+07","27281","Timeout"
"2026-08-13T07:54:06.5395671Z","2026-08-13 14:05:30 UTC+07","27282","Cancel"
"2026-08-13T08:07:08.2696825Z","2026-08-13 14:25:00 UTC+07","27283","Timeout"
"2026-08-13T08:15:11.9873852Z","2026-08-13 14:32:00 UTC+07","27284","Timeout"
"2026-08-13T08:18:16.9334378Z","2026-08-13 14:26:00 UTC+07","27285","Cancel"
"2026-08-13T08:55:22.8908265Z","2026-08-13 15:21:00 UTC+07","27288","Timeout"
"2026-08-13T08:55:26.6432514Z","2026-08-13 15:11:00 UTC+07","27288","Timeout"
"2026-08-13T09:03:11.5557132Z","2026-08-13 15:24:00 UTC+07","27289","Timeout"
"2026-08-13T09:03:13.9123636Z","2026-08-13 15:14:00 UTC+07","27289","Timeout"
"2026-08-13T09:43:15.5587917Z","2026-08-13 15:58:00 UTC+07","27296","Timeout"
"2026-08-13T09:43:19.5510826Z","2026-08-13 16:08:00 UTC+07","27296","Timeout"
"2026-08-13T09:59:04.3370787Z","2026-08-13 16:15:00 UTC+07","27298","Timeout"
"2026-08-13T10:15:18.5664786Z","2026-08-13 16:41:00 UTC+07","27300","Timeout"
"2026-08-13T10:15:22.4619812Z","2026-08-13 16:31:00 UTC+07","27300","Timeout"
"2026-08-13T10:50:10.4136956Z","2026-08-13 16:52:00 UTC+07","27302","Timeout"
"2026-08-14T02:29:40.6071428Z","2026-08-14 08:51:00 UTC+07","27326","Confirm"
"2026-08-14T03:29:03.3508131Z","2026-08-14 09:39:00 UTC+07","27329","Timeout"
"2026-08-14T04:29:10.7508761Z","2026-08-14 07:48:00 UTC+07","27333","Timeout"
"2026-08-14T04:29:13.4133755Z","2026-08-14 08:48:00 UTC+07","27334","Timeout"
"2026-08-14T06:59:02.7038126Z","2026-08-14 13:45:00 UTC+07","27349","Confirm"
"2026-08-14T07:38:58.6705964Z","2026-08-14 13:55:00 UTC+07","27352","Timeout"
"2026-08-14T08:55:00.4619409Z","2026-08-14 15:04:00 UTC+07","27354","Timeout"
"2026-08-14T09:30:42.3299089Z","2026-08-14 16:09:30 UTC+07","27359","Cancel"
"2026-08-14T09:32:19.5423983Z","2026-08-14 16:12:00 UTC+07","27360","Cancel"
"2026-08-14T14:56:40.0168298Z","2026-08-14 19:06:00 UTC+07","27368","Timeout"
"2026-08-15T07:13:55.5873516Z","2026-08-15 13:57:00 UTC+07","27390","Confirm"
"2026-08-15T07:46:59.3047127Z","2026-08-15 14:29:00 UTC+07","27393","Confirm"
"2026-08-15T07:47:06.6830020Z","2026-08-15 14:41:00 UTC+07","27393","Confirm"
"2026-08-15T08:39:12.6910599Z","2026-08-15 14:55:00 UTC+07","27394","Timeout"
"2026-08-15T09:18:56.7345204Z","2026-08-15 15:35:00 UTC+07","27396","Timeout"
"2026-08-15T13:44:30.7403581Z","2026-08-15 20:12:00 UTC+07","27402","Cancel"
"2026-08-15T15:39:01.1350148Z","2026-08-15 21:57:00 UTC+07","27403","Timeout"
"2026-08-15T15:39:03.9277448Z","2026-08-15 21:47:00 UTC+07","27403","Timeout"
"2026-08-15T16:18:56.8632401Z","2026-08-15 22:32:00 UTC+07","27404","Timeout"
"2026-08-16T05:19:56.9710387Z","2026-08-16 08:56:00 UTC+07","27411","Cancel"
"2026-08-16T05:20:19.0783102Z","2026-08-16 10:57:00 UTC+07","27412","Cancel"
"2026-08-16T14:43:06.9907826Z","2026-08-16 17:19:30 UTC+07","27414","Cancel"
"2026-08-16T23:56:37.4432605Z","2026-08-17 04:06:00 UTC+07","27433","Timeout"
"2026-08-17T01:05:26.9469299Z","2026-08-17 04:40:00 UTC+07","27432","Block"
"2026-08-17T01:38:30.2520900Z","2026-08-17 07:50:30 UTC+07","27435","Cancel"
"2026-08-17T01:38:32.8571679Z","2026-08-17 07:51:30 UTC+07","27436","Cancel"
"2026-08-17T02:10:49.5186557Z","2026-08-17 09:04:00 UTC+07","27439","Confirm"
"2026-08-17T02:39:39.3726921Z","2026-08-17 08:54:00 UTC+07","27439","Timeout"
"2026-08-17T04:27:48.0413862Z","2026-08-17 08:30:00 UTC+07","27450","Timeout"
"2026-08-17T05:24:01.6130144Z","2026-08-17 11:32:30 UTC+07","27457","Cancel"
"2026-08-17T05:27:45.1105344Z","2026-08-17 09:42:00 UTC+07","27458","Timeout"
"2026-08-17T05:28:50.2329545Z","2026-08-17 09:00:00 UTC+07","27459","Timeout"
"2026-08-17T06:28:03.7151651Z","2026-08-17 09:48:00 UTC+07","27463","Timeout"
"2026-08-17T06:28:06.5630160Z","2026-08-17 10:24:00 UTC+07","27464","Timeout"
"2026-08-17T06:28:09.8122846Z","2026-08-17 10:48:00 UTC+07","27465","Timeout"
"2026-08-17T06:28:59.9777204Z","2026-08-17 10:36:00 UTC+07","27466","Timeout"
"2026-08-17T07:31:00.9790526Z","2026-08-17 13:32:00 UTC+07","27469","Cancel"
"2026-08-17T07:35:48.2278306Z","2026-08-17 12:36:00 UTC+07","27472","Timeout"
"2026-08-17T08:27:34.6819196Z","2026-08-17 14:43:00 UTC+07","27476","Cancel"
"2026-08-17T08:27:38.1278463Z","2026-08-17 14:38:00 UTC+07","27475","Cancel"
"2026-08-17T09:19:26.0871347Z","2026-08-17 15:34:00 UTC+07","27480","Timeout"
"2026-08-17T09:30:53.5607878Z","2026-08-17 15:40:00 UTC+07","27481","Block"
"2026-08-17T10:10:21.0230739Z","2026-08-17 16:26:00 UTC+07","27483","Block"
"2026-08-17T10:35:58.6917652Z","2026-08-17 15:30:00 UTC+07","27487","Timeout"
"2026-08-17T10:36:01.1621070Z","2026-08-17 15:30:00 UTC+07","27486","Timeout"
"2026-08-18T02:31:26.0997442Z","2026-08-18 09:09:00 UTC+07","27501","Confirm"
"2026-08-18T02:39:10.7522258Z","2026-08-18 09:19:00 UTC+07","27503","Confirm"
"2026-08-18T03:08:50.8106781Z","2026-08-18 09:25:00 UTC+07","27504","Timeout"
"2026-08-18T03:18:52.5618031Z","2026-08-18 09:32:00 UTC+07","27510","Timeout"
"2026-08-18T03:58:39.3586763Z","2026-08-18 09:38:00 UTC+07","27513","Timeout"
"2026-08-18T04:26:23.4601034Z","2026-08-18 10:42:00 UTC+07","27515","Block"
"2026-08-18T04:26:26.2941530Z","2026-08-18 10:37:00 UTC+07","27514","Block"
"2026-08-18T06:42:02.4645959Z","2026-08-18 13:23:00 UTC+07","27521","Confirm"
"2026-08-18T07:30:22.2795520Z","2026-08-18 13:33:00 UTC+07","27524","PALO_CONFIGURATION_CHANGES_AUDIT_P2","Timeout","","PAN_PANORAMA"
